digital_id,timestamp,language,text,person1_id,person2_id,location_id
DIG000001,2026-05-13 11:54:00,en,"PERSON_00577 called PERSON_00940 near Zone_0093, Jabalpur. Record time 2026-05-13 11:54:00.",P00577,P00940,LOC0093
DIG000002,2026-04-05 11:39:00,hi,"PERSON_00151 और PERSON_00985 ने मिला, Zone_0178, Gwalior के पास। समय 2026-04-05 11:39:00.",P00151,P00985,LOC0178
DIG000003,2026-05-18 05:51:00,ta,"PERSON_00659 और PERSON_00287 ने தொடர்பு கொண்டார், Zone_0110, Indore के पास। समय 2026-05-18 05:51:00.",P00659,P00287,LOC0110
DIG000004,2026-02-25 11:01:00,en,"PERSON_00255 visited PERSON_00925 near Zone_0156, Bhopal. Record time 2026-02-25 11:01:00.",P00255,P00925,LOC0156
DIG000005,2026-01-01 18:18:00,te,"PERSON_00030 और PERSON_00610 ने స్థానం పంచుకున్నారు, Zone_0037, Indore के पास। समय 2026-01-01 18:18:00.",P00030,P00610,LOC0037
DIG000006,2026-03-04 13:30:00,bn,"PERSON_00233 और PERSON_00323 ने স্থান ভাগ করেছে, Zone_0052, Nagpur के पास। समय 2026-03-04 13:30:00.",P00233,P00323,LOC0052
DIG000007,2026-07-19 17:32:00,te,"PERSON_00977 और PERSON_00434 ने సందేశం పంపారు, Zone_0048, Indore के पास। समय 2026-07-19 17:32:00.",P00977,P00434,LOC0048
DIG000008,2026-08-30 11:56:00,ur,"PERSON_00811 और PERSON_00637 ने رابطہ کیا, Zone_0051, Bhopal के पास। समय 2026-08-30 11:56:00.",P00811,P00637,LOC0051
DIG000009,2026-06-23 23:51:00,te,"PERSON_00963 और PERSON_00054 ने స్థానం పంచుకున్నారు, Zone_0085, Gwalior के पास। समय 2026-06-23 23:51:00.",P00963,P00054,LOC0085
DIG000010,2026-01-07 00:15:00,ml,"PERSON_00099 और PERSON_00538 ने സന്ദേശം അയച്ചു, Zone_0034, Jabalpur के पास। समय 2026-01-07 00:15:00.",P00099,P00538,LOC0034
DIG000011,2026-04-02 19:57:00,bn,"PERSON_00042 और PERSON_00435 ने দেখা করেছে, Zone_0109, Bhopal के पास। समय 2026-04-02 19:57:00.",P00042,P00435,LOC0109
DIG000012,2026-03-18 12:21:00,pa,"PERSON_00968 और PERSON_00731 ने ਸੰਪਰਕ ਕੀਤਾ, Zone_0033, Jabalpur के पास। समय 2026-03-18 12:21:00.",P00968,P00731,LOC0033
DIG000013,2026-08-24 13:51:00,ml,"PERSON_00863 और PERSON_00653 ने സന്ദേശം അയച്ചു, Zone_0082, Nagpur के पास। समय 2026-08-24 13:51:00.",P00863,P00653,LOC0082
DIG000014,2026-07-30 00:21:00,en,"PERSON_00538 contacted PERSON_00930 near Zone_0134, Indore. Record time 2026-07-30 00:21:00.",P00538,P00930,LOC0134
DIG000015,2026-02-02 03:05:00,ur,"PERSON_00119 और PERSON_00740 ने فون کیا, Zone_0124, Bhopal के पास। समय 2026-02-02 03:05:00.",P00119,P00740,LOC0124
DIG000016,2026-08-30 21:16:00,kn,"PERSON_00292 और PERSON_00751 ने ಕರೆ ಮಾಡಿದರು, Zone_0162, Nagpur के पास। समय 2026-08-30 21:16:00.",P00292,P00751,LOC0162
DIG000017,2026-01-16 21:45:00,en,"PERSON_00701 sent a message to PERSON_00781 near Zone_0046, Bhopal. Record time 2026-01-16 21:45:00.",P00701,P00781,LOC0046
DIG000018,2026-03-26 03:09:00,en,"PERSON_00761 called PERSON_00189 near Zone_0094, Gwalior. Record time 2026-03-26 03:09:00.",P00761,P00189,LOC0094
DIG000019,2026-04-01 06:41:00,ml,"PERSON_00367 और PERSON_00285 ने പണം അയച്ചു, Zone_0072, Indore के पास। समय 2026-04-01 06:41:00.",P00367,P00285,LOC0072
DIG000020,2026-04-19 17:41:00,en,"PERSON_00770 visited PERSON_00594 near Zone_0028, Bhopal. Record time 2026-04-19 17:41:00.",P00770,P00594,LOC0028
DIG000021,2026-01-05 15:24:00,te,"PERSON_00509 और PERSON_00892 ने స్థానం పంచుకున్నారు, Zone_0073, Jabalpur के पास। समय 2026-01-05 15:24:00.",P00509,P00892,LOC0073
DIG000022,2026-03-31 07:19:00,ml,"PERSON_00755 और PERSON_00247 ने വിളിച്ചു, Zone_0118, Ujjain के पास। समय 2026-03-31 07:19:00.",P00755,P00247,LOC0118
DIG000023,2026-01-01 23:14:00,ta,"PERSON_00018 और PERSON_00403 ने அழைத்தார், Zone_0056, Jabalpur के पास। समय 2026-01-01 23:14:00.",P00018,P00403,LOC0056
DIG000024,2026-05-06 09:34:00,kn,"PERSON_00048 और PERSON_00511 ने ಭೇಟಿಯಾದರು, Zone_0145, Jabalpur के पास। समय 2026-05-06 09:34:00.",P00048,P00511,LOC0145
DIG000025,2026-01-16 12:06:00,bn,"PERSON_00893 और PERSON_00133 ने পরিদর্শন করেছে, Zone_0028, Bhopal के पास। समय 2026-01-16 12:06:00.",P00893,P00133,LOC0028
DIG000026,2026-05-27 15:58:00,gu,"PERSON_00379 और PERSON_00762 ने સંદેશ મોકલ્યો, Zone_0076, Indore के पास। समय 2026-05-27 15:58:00.",P00379,P00762,LOC0076
DIG000027,2026-08-04 01:57:00,gu,"PERSON_00679 और PERSON_00216 ने સંદેશ મોકલ્યો, Zone_0004, Indore के पास। समय 2026-08-04 01:57:00.",P00679,P00216,LOC0004
DIG000028,2026-08-24 20:25:00,gu,"PERSON_00951 और PERSON_00415 ने સ્થાન શેર કર્યું, Zone_0150, Ujjain के पास। समय 2026-08-24 20:25:00.",P00951,P00415,LOC0150
DIG000029,2026-07-23 23:04:00,ml,"PERSON_00922 और PERSON_00429 ने പണം അയച്ചു, Zone_0175, Jabalpur के पास। समय 2026-07-23 23:04:00.",P00922,P00429,LOC0175
DIG000030,2026-01-06 01:45:00,pa,"PERSON_00133 और PERSON_00841 ने ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ, Zone_0178, Gwalior के पास। समय 2026-01-06 01:45:00.",P00133,P00841,LOC0178
DIG000031,2026-03-29 14:12:00,bn,"PERSON_00826 और PERSON_00097 ने পরিদর্শন করেছে, Zone_0120, Ujjain के पास। समय 2026-03-29 14:12:00.",P00826,P00097,LOC0120
DIG000032,2026-05-14 00:49:00,en,"PERSON_00995 called PERSON_00724 near Zone_0036, Ujjain. Record time 2026-05-14 00:49:00.",P00995,P00724,LOC0036
DIG000033,2026-02-28 05:34:00,kn,"PERSON_00460 और PERSON_00455 ने ಹಣ ಕಳುಹಿಸಿದರು, Zone_0139, Jabalpur के पास। समय 2026-02-28 05:34:00.",P00460,P00455,LOC0139
DIG000034,2026-02-17 02:48:00,en,"PERSON_00126 met PERSON_00370 near Zone_0054, Jabalpur. Record time 2026-02-17 02:48:00.",P00126,P00370,LOC0054
DIG000035,2026-01-22 17:21:00,en,"PERSON_00400 visited PERSON_00894 near Zone_0108, Bhopal. Record time 2026-01-22 17:21:00.",P00400,P00894,LOC0108
DIG000036,2026-08-16 17:00:00,gu,"PERSON_00654 और PERSON_00976 ने સંદેશ મોકલ્યો, Zone_0160, Ujjain के पास। समय 2026-08-16 17:00:00.",P00654,P00976,LOC0160
DIG000037,2026-08-07 23:18:00,en,"PERSON_00329 sent a message to PERSON_00174 near Zone_0084, Gwalior. Record time 2026-08-07 23:18:00.",P00329,P00174,LOC0084
DIG000038,2026-05-11 12:31:00,ml,"PERSON_00441 और PERSON_00920 ने വിളിച്ചു, Zone_0128, Bhopal के पास। समय 2026-05-11 12:31:00.",P00441,P00920,LOC0128
DIG000039,2026-01-14 04:09:00,pa,"PERSON_00562 और PERSON_00046 ने ਮਿਲਿਆ, Zone_0013, Gwalior के पास। समय 2026-01-14 04:09:00.",P00562,P00046,LOC0013
DIG000040,2026-04-08 08:43:00,hi,"PERSON_00353 और PERSON_00754 ने फोन किया, Zone_0037, Indore के पास। समय 2026-04-08 08:43:00.",P00353,P00754,LOC0037
DIG000041,2026-03-31 17:03:00,gu,"PERSON_00350 और PERSON_00187 ने મળ્યા, Zone_0077, Bhopal के पास। समय 2026-03-31 17:03:00.",P00350,P00187,LOC0077
