report_id,timestamp,language,text,person1_id,person2_id,phone_id,account_id,vehicle_id,location_id
RPT00001,2026-07-25 05:52:00,en,"On 2026-07-25, the record noted that PERSON_00561 was observed with PERSON_00975 near Zone_0123 in Ujjain. The note references phone PH01018, account ACC00481, and vehicle VEH00359. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00561,P00975,PH01018,ACC00481,VEH00359,LOC0123
RPT00002,2026-07-31 20:37:00,en,"On 2026-07-31, the record noted that PERSON_00621 was observed with PERSON_00601 near Zone_0085 in Gwalior. The note references phone PH01064, account ACC00213, and vehicle VEH00136. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00621,P00601,PH01064,ACC00213,VEH00136,LOC0085
RPT00003,2026-06-24 00:58:00,en,"On 2026-06-24, the record noted that PERSON_00259 was observed with PERSON_00924 near Zone_0027 in Gwalior. The note references phone PH00039, account ACC00926, and vehicle VEH00178. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00259,P00924,PH00039,ACC00926,VEH00178,LOC0027
RPT00004,2026-04-11 20:09:00,en,"On 2026-04-11, the record noted that PERSON_00283 was observed with PERSON_00146 near Zone_0079 in Nagpur. The note references phone PH01072, account ACC00243, and vehicle VEH00376. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00283,P00146,PH01072,ACC00243,VEH00376,LOC0079
RPT00005,2026-06-26 20:10:00,en,"On 2026-06-26, the record noted that PERSON_00663 was observed with PERSON_00699 near Zone_0029 in Nagpur. The note references phone PH01024, account ACC00636, and vehicle VEH00171. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00663,P00699,PH01024,ACC00636,VEH00171,LOC0029
RPT00006,2026-04-06 09:32:00,en,"On 2026-04-06, the record noted that PERSON_00501 was observed with PERSON_00341 near Zone_0050 in Jabalpur. The note references phone PH00984, account ACC01136, and vehicle VEH00163. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00501,P00341,PH00984,ACC01136,VEH00163,LOC0050
RPT00007,2026-02-26 21:30:00,en,"On 2026-02-26, the record noted that PERSON_00098 was observed with PERSON_00901 near Zone_0145 in Jabalpur. The note references phone PH00754, account ACC00292, and vehicle VEH00170. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00098,P00901,PH00754,ACC00292,VEH00170,LOC0145
RPT00008,2026-01-05 06:15:00,en,"On 2026-01-05, the record noted that PERSON_00666 was observed with PERSON_00813 near Zone_0087 in Ujjain. The note references phone PH01139, account ACC00429, and vehicle VEH00135. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00666,P00813,PH01139,ACC00429,VEH00135,LOC0087
RPT00009,2026-01-27 10:05:00,hi,"2026-01-27 को रिकॉर्ड में PERSON_00783 और PERSON_00997 का उल्लेख Zone_0009, Jabalpur के आसपास है। नोट में फोन PH00283, खाता ACC01048 और वाहन VEH00400 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00783,P00997,PH00283,ACC01048,VEH00400,LOC0009
RPT00010,2026-06-07 06:39:00,en,"On 2026-06-07, the record noted that PERSON_00588 was observed with PERSON_00409 near Zone_0169 in Nagpur. The note references phone PH00595, account ACC00233, and vehicle VEH00021. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00588,P00409,PH00595,ACC00233,VEH00021,LOC0169
RPT00011,2026-07-30 07:56:00,en,"On 2026-07-30, the record noted that PERSON_00833 was observed with PERSON_00191 near Zone_0092 in Ujjain. The note references phone PH00084, account ACC00518, and vehicle VEH00134. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00833,P00191,PH00084,ACC00518,VEH00134,LOC0092
RPT00012,2026-08-09 15:46:00,en,"On 2026-08-09, the record noted that PERSON_00439 was observed with PERSON_00503 near Zone_0090 in Gwalior. The note references phone PH00956, account ACC00741, and vehicle VEH00160. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00439,P00503,PH00956,ACC00741,VEH00160,LOC0090
RPT00013,2026-04-10 05:52:00,hi,"2026-04-10 को रिकॉर्ड में PERSON_00942 और PERSON_00551 का उल्लेख Zone_0050, Jabalpur के आसपास है। नोट में फोन PH00487, खाता ACC01134 और वाहन VEH00313 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00942,P00551,PH00487,ACC01134,VEH00313,LOC0050
RPT00014,2026-01-15 00:43:00,en,"On 2026-01-15, the record noted that PERSON_00411 was observed with PERSON_00229 near Zone_0166 in Bhopal. The note references phone PH01121, account ACC00225, and vehicle VEH00364. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00411,P00229,PH01121,ACC00225,VEH00364,LOC0166
RPT00015,2026-06-20 00:59:00,en,"On 2026-06-20, the record noted that PERSON_00515 was observed with PERSON_00784 near Zone_0172 in Gwalior. The note references phone PH01177, account ACC00868, and vehicle VEH00212. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00515,P00784,PH01177,ACC00868,VEH00212,LOC0172
RPT00016,2026-05-25 16:23:00,hi,"2026-05-25 को रिकॉर्ड में PERSON_00936 और PERSON_00723 का उल्लेख Zone_0065, Jabalpur के आसपास है। नोट में फोन PH00230, खाता ACC00190 और वाहन VEH00228 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00936,P00723,PH00230,ACC00190,VEH00228,LOC0065
